,pmid,journal,journal_abbrv,pub_year,institution
953,25212744,Human mutation,Hum Mutat,2014,"Department of Pathology and Molecular Medicine, McMaster University, Hamilton, Ontario, Canada."
954,25192505,Seminars in neurology,Semin Neurol,2014,"Division of Epilepsy, Department of Neurology, Boston Children's Hospital, Boston, Massachusetts."
955,25192503,Seminars in neurology,Semin Neurol,2014,"Kennedy Krieger Institute, Baltimore, Maryland."
956,25172960,Molecular biology and evolution,Mol Biol Evol,2014,"Max-Planck Institute for Evolutionary Biology, Department Evolutionary Genetics, Plön, Germany."
957,25118026,European journal of human genetics : EJHG,Eur J Hum Genet,2015,"Cytogenetics Laboratory, Quest Diagnostics Nichols Institute, San Juan Capistrano, CA, USA."
958,25099823,American journal of medical genetics. Part A,Am J Med Genet A,2014,"Division of Medical Genetics, Kanagawa Children's Medical Center, Yokohama, Japan."
959,25089030,Gene,Gene,2015,"University Hospital Bari-Policlinics, Medical Genetics Unit, Piazza Giulio Cesare, 11, Bari 70125, Italy. Electronic address: nenadbukvic@virgilio.it."
960,25069246,Nihon shinkei seishin yakurigaku zasshi = Japanese journal of psychopharmacology,Nihon Shinkei Seishin Yakurigaku Zasshi,2013,
961,25064682,Research in developmental disabilities,Res Dev Disabil,2014,"Centre for Rare Diseases, Department of Pediatrics, Aarhus University Hospital, Aarhus, Denmark. Electronic address: linebiemertz@dadlnet.dk."
962,25044251,Annals of neurology,Ann Neurol,2014,"Department of Molecular Biology, Cell Biology, and Biochemistry and Laboratory for Molecular Medicine, Institute for Brain Science, Brown University, Providence, RI; Developmental Disorders Genetics Research Program, Emma Pendleton Bradley Hospital and Department of Psychiatry and Human Behavior, Warren Alpert Medical School of Brown University, East Providence, RI."
963,25027318,Human molecular genetics,Hum Mol Genet,2014,"Cellular and Molecular Neuroscience Laboratory, National Brain Research Centre, Manesar, Gurgaon 122 050, India."
964,24979557,Archives of Iranian medicine,Arch Iran Med,2014,"Kariminejad- Najmabadi Pathology and Genetics Center, Tehran, Iran. hnajm12@yahoo.com."
965,24975781,American journal of medical genetics. Part A,Am J Med Genet A,2014,"Cytogenetics Laboratory, Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, Minnesota."
966,24946931,BMC neuroscience,BMC Neurosci,2014,"Genome Center, MIND Institute, and Department of Biochemistry and Molecular Medicine, University of California, Davis, CA 95616, USA. djsegal@ucdavis.edu."
967,24917540,Journal of applied research in intellectual disabilities : JARID,J Appl Res Intellect Disabil,2015,"Communication Sciences and Disorders, University of New Hampshire, Durham, NH, USA."
968,24917194,Cardiovascular toxicology,Cardiovasc Toxicol,2015,"Department of Prevention, Tongji University School of Medicine, Shanghai, China."
969,24896151,European journal of human genetics : EJHG,Eur J Hum Genet,2015,"Institute of Human Genetics, University Hospital Essen, University Duisburg-Essen, Essen, Germany."
970,24876791,The application of clinical genetics,Appl Clin Genet,2014,"Department of Pediatrics, University of California, Division of Genetics, Rady Children's Hospital, San Diego, California, USA."
971,24866401,Neurobiology of aging,Neurobiol Aging,2014,"Department of Neuroscience, Mayo Clinic, Jacksonville, FL, USA."
972,24839169,"American journal of medical genetics. Part C, Seminars in medical genetics",Am J Med Genet C Semin Med Genet,2014,
973,24838856,Biotechnology journal,Biotechnol J,2014,"Department of Physiology, Yonsei University College of Medicine, Seoul, Korea."
974,24820335,Journal of child neurology,J Child Neurol,2015,"Department of Neurology, Vanderbilt University, Nashville, TN, USA althea.a.robinson@vanderbilt.edu."
975,24810662,Neurotoxicity research,Neurotox Res,2014,"Dipartimento di Scienze Farmacologiche e Biomolecolari, Università degli Studi di Milano, Via Balzaretti 9, 20133, Milan, Italy."
976,24796722,Brain & development,Brain Dev,2015,"Department of Child Neurology, National Center of Neurology and Psychiatry, Tokyo, Japan. Electronic address: masapon.go@gmail.com."
977,24790661,Maedica,Maedica (Bucur),2013,"""Carol Davila"" University of Medicine and Pharmacy, Bucharest, Romania."
978,24785862,Obstetrics and gynecology,Obstet Gynecol,2014,"Departments of Obstetrics and Gynecology, University of North Carolina-Chapel Hill, Chapel Hill, North Carolina, and Alpert Medical School at Brown University, Women and Infant's Hospital, Providence, Rhode Island."
979,24779060,American journal of medical genetics. Part A,Am J Med Genet A,2014,
980,24728990,Nucleic acids research,Nucleic Acids Res,2014,"Faculty of Life Sciences, University of Manchester, Oxford Road, Manchester, M13 9PT, UK."
981,24715682,American journal of medical genetics. Part A,Am J Med Genet A,2014,"Department of Medical and Molecular Genetics, King's College, London, UK."
982,24706802,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A,2014,"Department of Human Genetics, Emory University School of Medicine, Atlanta, GA 30322."
983,24700165,American journal of speech-language pathology,Am J Speech Lang Pathol,2014,
984,24678582,Journal of neurochemistry,J Neurochem,2014,"Cellular and Molecular Neuroscience Laboratory, National Brain Research Centre, Manesar, Gurgaon, India."
985,24672001,The Journal of neuroscience : the official journal of the Society for Neuroscience,J Neurosci,2014,"Department of Physiology and Pharmacology, Sapienza University of Rome, 00185 Rome, Italy, Pharmacology of Synaptic Plasticity Unit, European Brain Research Institute, 00143 Rome, Italy, Istituto di Ricovero e Cura a Carattere Scientifico (IRCCS) Neuromed, 86077 Pozzilli, Italy, IRCCS Fondazione Santa Lucia, 00143 Rome, Italy, Institute of Cell Biology and Neurobiology, National Research Council, 00143 Rome, Italy, Institute of Neurological Sciences, National Research Council, 95126 Catania, Italy, and IRCCS Oasi Maria SS, 94018 Troina, Italy."
986,24656292,Research in developmental disabilities,Res Dev Disabil,2014,"Centre for Rare Diseases, Department of Pediatrics, Aarhus University Hospital, Denmark. Electronic address: linebiemertz@dadlnet.dk."
987,24637817,Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,Zh Nevrol Psikhiatr Im S S Korsakova,2014,
988,24508361,European journal of paediatric neurology : EJPN : official journal of the European Paediatric Neurology Society,Eur J Paediatr Neurol,2014,"Hacettepe University, Department of Pediatrics, Ankara, Turkey; Hacettepe University, Department of Pediatric Genetics, Ankara, Turkey. Electronic address: geutine@hacettepe.edu.tr."
989,24501262,Journal of neurophysiology,J Neurophysiol,2014,"Department of Neurobiology and Evelyn F. McKnight Brain Institute, University of Alabama at Birmingham, Birmingham, Alabama jjh85@uab.edu."
990,24483168,Developmental neurorehabilitation,Dev Neurorehabil,2015,"a Behavioral Science Institute, Radboud University Nijmegen , Nijmegen , The Netherlands ."
991,24482533,Genome biology and evolution,Genome Biol Evol,2014,"Institut für Humangenetik, Universitätsklinikum Essen, Universität Duisburg-Essen, Germany."
992,24470816,Journal of pediatric neurosciences,J Pediatr Neurosci,2013,"Department of Neurology, Institute of Human Behaviour and Allied Science, Delhi, India."
993,28191346,"Diseases (Basel, Switzerland)",Diseases,2014,"Regenerative Medicine Program, Department of Biochemistry and Medical Genetics, Faculty of Medicine, University of Manitoba, 745 Bannatyne Avenue, Winnipeg, Manitoba, R3E 0J9, Canada."
994,24444289,Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC,J Obstet Gynaecol Can,2014,Toronto ON.
995,24440034,Journal of clinical anesthesia,J Clin Anesth,2014,"Department of Anesthesiology, University of Alabama School of Medicine, Birmingham, AL 35294, USA."
996,24437259,Nihon rinsho. Japanese journal of clinical medicine,Nihon Rinsho,2013,"Japan Association for Development of Community Medicine, Tokyo Bay Urayasu Ichikawa Medical Center."
997,24434871,"Learning & memory (Cold Spring Harbor, N.Y.)",Learn Mem,2014,"Department of Molecular Pharmacology and Physiology, Morsani College of Medicine, University of South Florida, Byrd Alzheimer's Institute, Tampa, Florida 33613, USA."
998,24434231,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,Int J Gynaecol Obstet,2014,"Department of Obstetrics and Gynecology, National Chen-Kung University Hospital and College of Medicine, Tainan, Taiwan."
999,24395242,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,Neurol Sci,2014,"The SARAH Network of Neurorehabilitation Hospitals, SARAH International Center for Neurorehabilitation and Neuroscience, Avenida Abelardo Bueno, nº 1500, Rio de Janeiro, RJ, 22775-040, Brazil, marcioley@hotmail.com."
1000,24385930,PLoS genetics,PLoS Genet,2013,"Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America."
1001,24363065,Human molecular genetics,Hum Mol Genet,2014,"Department of Genetics and Developmental Biology, University of Connecticut Health Center, Farmington, CT, USA."
1002,24357076,American journal of medical genetics. Part A,Am J Med Genet A,2014,"Department of Medical Genetics, University of Calgary, Calgary, Alberta, Canada."
1003,24337433,Molecular medicine reports,Mol Med Rep,2014,"Division of Preventive Medicine, Ministry of Education, Tongji University School of Medicine, Shanghai 200092, P.R. China."
1004,24329862,The European journal of neuroscience,Eur J Neurosci,2014,"Department of Psychology and Neuroscience, Box 91050, Duke University, Durham, NC, 27708, USA."
1005,24311297,American journal of medical genetics. Part A,Am J Med Genet A,2014,"Department of Genetics, Reproduction and Fetal Medicine, Institute of Biomedicine of Seville (IBIS), University Hospital Virgen del Rocío, CSIC, University of Seville, Seville, Spain."
1006,24301056,European journal of human genetics : EJHG,Eur J Hum Genet,2014,"Institute of Clinical Genetics, Klinikum Stuttgart, Stuttgart, Germany."
1007,24292889,Cellular and molecular life sciences : CMLS,Cell Mol Life Sci,2014,"CIC bioGUNE, Bizkaia Teknologia Parkea, Building 801-A, Derio, 48160, Derio, Basque Country, Spain."
1008,24288033,Indian journal of pediatrics,Indian J Pediatr,2014,"Department of Pediatric Genetics, Amrita Institute of Medical Sciences and Research Center, Aims Ponekkara PO, Cochin, 682041, Kerala, India."
1009,24285247,Neuropediatrics,Neuropediatrics,2014,"Section of Pediatric Neuroradiology, Division of Pediatric Radiology, Russell H. Morgan Department of Radiology and Radiological Science, The Johns Hopkins University School of Medicine, Baltimore, Maryland, United States."
1010,24273172,The Journal of biological chemistry,J Biol Chem,2014,From the Department of Biochemistry and Molecular Biology and.
1011,24254964,The Journal of comparative neurology,J Comp Neurol,2014,"Department of Cell Biology and Physiology, University of North Carolina School of Medicine, Chapel Hill, North Carolina, 27599."
1012,24204377,Frontiers in genetics,Front Genet,2013,"Department of Physiology and Biophysics, University of California Irvine, CA, USA ; UCI Center for Autism Research and Treatment, School of Medicine, University of California Irvine, CA, USA."
1013,24155239,The Journal of biological chemistry,J Biol Chem,2013,"From the Department of Biochemistry and Molecular Dentistry, Graduate School of Medicine, Dentistry, and Pharmaceutical Sciences, Okayama University, 2-5-1 Shikata-cho, Kita-ku Okayama 700-8525, Japan."
1014,24128679,Journal of neuropathology and experimental neurology,J Neuropathol Exp Neurol,2013,"From the Department of Neurology, The Ohio State University, Columbus, Ohio (FW, WDA, OG, HM, MS, AH, AH, ZS, YYK); The Department of Biochemistry, The University of Texas Southwestern Medical Center at Dallas, Dallas, Texas (REH); Department of Pediatrics and Pathology, The Ohio State University/Nationwide Children's Hospital (ZS); and Center for Gene Therapy, The Research Institute, Nationwide Children's Hospital (ZS), Columbus, Ohio."
1015,24125951,Gene,Gene,2014,"Department of Biological Sciences, Louisiana State University, Baton Rouge, LA 70803, USA."
1016,24125946,Reproductive biomedicine online,Reprod Biomed Online,2013,"Department of Obstetrics and Gynecology, University of Western Ontario, Schulich School of Medicine and Dentistry, London, Ontario, Canada; Department of Biochemistry, University of Western Ontario, Schulich School of Medicine and Dentistry, London, Ontario, Canada; Children's Health Research Institute, London, Ontario, Canada N6C 2V5."
1017,24124202,"Language, speech, and hearing services in schools",Lang Speech Hear Serv Sch,2013,Correspondence to Jolene Hyppa Martin: jhyppama@umn.edu.
1018,24105792,Molecular & cellular proteomics : MCP,Mol Cell Proteomics,2014,"Neuroregeneration Program, Institute for Cell Engineering."
1019,24104594,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,Neurotherapeutics,2013,"Developmental Neurogenetics Laboratory, Barrow Neurological Institute, Phoenix, AZ, 85013, USA."
1020,24076983,Research in developmental disabilities,Res Dev Disabil,2013,"Department of Special Education, Radboud University Nijmegen, The Netherlands; Daelzicht, Heel, The Netherlands. Electronic address: m.radstaake@pwo.ru.nl."
1021,24072048,Medicina,Medicina (B Aires),2013,"Sección Genética Médica, Hospital de Niños Dr. Ricardo Gutiérrez, Buenos Aires."
1022,24058414,PloS one,PLoS One,2013,"Institute of Psychological Medicine and Clinical Neurosciences, MRC Centre for Neuropsychiatric Genetics and Genomics, School of Medicine, Cardiff University, Cardiff, United Kingdom."
1023,24013593,Nature neuroscience,Nat Neurosci,2013,"Department of Biological Chemistry, The Johns Hopkins University School of Medicine, Baltimore, Maryland, USA."
1024,24011290,Molecular cytogenetics,Mol Cytogenet,2013,"Department of Medical Genetics, University of Szeged, 4 Somogyi B, utca, H-6720, Szeged, Hungary. horvath.emese@med.u-szeged.hu."
1025,23970451,Andrology,Andrology,2013,"Department of Molecular Biology and INDEGSAL, University of León, Spain."
1026,23957894,Developmental neurorehabilitation,Dev Neurorehabil,2014,"Department of Special Education, Radboud University Nijmegen , Nijmegen , The Netherlands ."
1027,23949824,Developmental disabilities research reviews,Dev Disabil Res Rev,2013,"Dichterbij, Center for the Intellectually Disabled, Medical Center, Gennep, The Netherlands. t.coppus@elg.umcn.nl"
1028,23918391,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A,2013,"Medical Microbiology and Immunology, Genome Center, Medical Investigation of Neurodevelopmental Disorders Institute, and Department of Molecular and Cellular Biology, University of California, Davis, CA 95616, USA."
1029,23913711,American journal of medical genetics. Part A,Am J Med Genet A,2013,"Department of Pediatrics, Center for Rare Diseases, Aarhus University Hospital, Aarhus, Denmark. linebiemertz@dadlnet.dk"
1030,23913548,American journal of medical genetics. Part A,Am J Med Genet A,2013,"Faculty of Medicine, University of Southampton, Southampton, UK."
1031,23911285,Cell reports,Cell Rep,2013,"Center for Neural Science, New York University, New York, NY 10003, USA."
1032,23894493,PloS one,PLoS One,2013,"Department of Dairy Science, University of Wisconsin-Madison, Madison, Wisconsin, USA."
1033,23864968,Case reports in genetics,Case Rep Genet,2013,"University of Hawaii John A. Burns School of Medicine, Honolulu, HI 96813, USA."
1034,23831365,Neuropharmacology,Neuropharmacology,2014,"Department of Biomedicine, University of Bergen, Jonas Lies vei 91, 5009 Bergen, Norway; KG Jebsen Centre for Research on Neuropsychiatric Disorders, University of Bergen, Jonas Lies vei 91, 5009 Bergen, Norway."
1035,23800155,European journal of neurology,Eur J Neurol,2013,"Department of Biology, University of Padova, Padova, Italy."
1036,23791832,Biochemical and biophysical research communications,Biochem Biophys Res Commun,2013,"Department of Genetics, Program in Cellular Neuroscience, Neurodegeneration and Repair, Yale University School of Medicine, New Haven, CT 06510, USA."
1037,23763370,"Alcoholism, clinical and experimental research",Alcohol Clin Exp Res,2013,"Department of Psychiatry and Behavioral Sciences, The Asher Center, Feinberg School of Medicine, Northwestern University, Chicago, Illinois."
1038,23750756,Developmental medicine and child neurology,Dev Med Child Neurol,2013,"Child Neurology Unit, Shaare Zedek Medical Center, Jerusalem, Israel. Talgilboa14@gmail.com"
1039,23747006,Bone,Bone,2013,"Department of Paediatric Propedeutics and Metabolic Bone Diseases, Medical University of Lodz, Poland. agnieszka.rusinska@wp.pl"
1040,25207107,Balkan medical journal,Balkan Med J,2013,"Physical Medicine and Rehabilitation, University Childrens Hospital, Belgrade, Serbia."
1041,23714438,Fertility and sterility,Fertil Steril,2013,"Nij Barrahûs Fertility Center, Wolvega, the Netherlands. j.vermeiden@xs4all.nl"
1042,23697931,Biochemical Society transactions,Biochem Soc Trans,2013,"Behavioural Genetics Group, Neuroscience and Mental Health Research Institute, Schools of Medicine and Psychology, Cardiff University, Cardiff CF14 4XN, U.K."
1043,23686718,American journal of medical genetics. Part A,Am J Med Genet A,2013,"Cytogenetics Laboratory, Quest Diagnostics Nichols Institute, San Juan Capistrano, CA 92690, USA."
1044,23671107,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A,2013,"Department of Biology, University of Konstanz, 78457 Konstanz, Germany."
1045,23633446,American journal of medical genetics. Part A,Am J Med Genet A,2013,"Pediatric Neurology Unit and Laboratories, Pediatric Hospital A. Meyer, Department of Clinical Pathophysiology, University of Florence, Florence, Italy."
1046,23626758,PloS one,PLoS One,2013,"Department of Neurology, University of Tennessee Health Science Center, Memphis, Tennessee, United States of America."
1047,23622177,Handbook of clinical neurology,Handb Clin Neurol,2013,"The Queen Silvia Children's Hospital, Sahlgrenska Academy at the University of Gothenburg, Sweden. Electronic address: marten.kyllerman@vgregion.se."
1048,23621361,"Augmentative and alternative communication (Baltimore, Md. : 1985)",Augment Altern Commun,2013,"University of New Hampshire, Durham, NH, USA. stephen.calculator@unh.edu"
1049,23606637,Journal of applied research in intellectual disabilities : JARID,J Appl Res Intellect Disabil,2013,"Department of Communication Sciences and Disorders, University of New Hampshire, Durham, NH, USA."
1050,23602885,Neuroscience,Neuroscience,2013,"University of Oslo, Oslo, Norway."
1051,23593014,PLoS genetics,PLoS Genet,2013,"Department of Cell and Developmental Biology, University of Pennsylvania Perelman School of Medicine, Philadelphia, Pennsylvania, United States of America."
1052,25886714,European journal of anaesthesiology,Eur J Anaesthesiol,2015,"From the Division of Anaesthesiology, Niigata University Graduate School of Medical and Dental Sciences, Niigata, Japan."
1053,23583561,Seminars in cell & developmental biology,Semin Cell Dev Biol,2013,"Humboldt University Berlin, Department for Crop and Animal Sciences, Berlin, Germany. monika.reissmann@rz.hu-berlin.de"
1054,23580197,Disease models & mechanisms,Dis Model Mech,2013,"Molecular Genetics Unit, Department of Biology, Western University, London, Ontario, N6A 5B7, Canada."
1055,23551092,Clinical genetics,Clin Genet,2014,"Department of Medical Genetics, Capital Institute of Pediatrics, Beijing, 100020, China."
1056,23518390,Research in developmental disabilities,Res Dev Disabil,2013,"Cerebra Centre for Neurodevelopmental Disorders, School of Psychology, University of Birmingham, Edgbaston B15 2TT, UK. mxo988@bham.ac.uk"
1057,23509941,Clinical genetics,Clin Genet,2014,"Medical Genetics, Shodair Children's Hospital, Helena, MT, USA."
1058,23503716,Frontiers in genetics,Front Genet,2013,
1059,23499007,Molecular cell,Mol Cell,2013,"Department of Cell Biology, Harvard Medical School, Boston, MA 02115, USA. peter_lee@hms.harvard.edu"
1060,23498559,Pediatric neurology,Pediatr Neurol,2013,"Pediatric Epilepsy Program and Angelman Syndrome Clinic, Department of Neurology, Massachusetts General Hospital, Boston, MA 02114, USA."
1061,23495136,Autism research : official journal of the International Society for Autism Research,Autism Res,2013,"Department of Neurology, University of Tennessee Health Science Center, Memphis, Tennessee, USA."
1062,23468062,Neuromolecular medicine,Neuromolecular Med,2013,"Department of Biochemistry and Molecular and Cellular Biology, Georgetown University School of Medicine, 3900 Reservoir Rd. NW, Washington, DC 20057, USA."
1063,23447592,The Journal of neuroscience : the official journal of the Society for Neuroscience,J Neurosci,2013,"Department of Neurobiology, Duke University Medical Center, Durham, North Carolina 27710, USA."
1064,23439649,The Journal of biological chemistry,J Biol Chem,2013,"Department of Biochemistry and Molecular Biology, Louisiana State University Health Sciences Center, New Orleans, Louisiana 70112, USA."
1065,23424281,PLoS biology,PLoS Biol,2013,"Department of Molecular Pharmacology, Physiology, and Biotechnology, Brown University, Providence, Rhode Island, United States of America."
1066,23416059,European journal of paediatric neurology : EJPN : official journal of the European Paediatric Neurology Society,Eur J Paediatr Neurol,2013,"Department of Medical Genetics, University of Athens School of Medicine, Choremeio Research Laboratory, Aghia Sophia Children's Hospital, Thivon and Levadeias str, 11527 Goudi, Athens, Greece. evmorfia.tzagkaraki@hotmail.com"
1067,23400943,Pharmacotherapy,Pharmacotherapy,2013,"Departments of Pharmacy Practice and Neurology, Creighton University School of Pharmacy and Health Professions, Omaha, NE68178, USA. faulkner@creighton.edu"
1068,23398196,Developmental medicine and child neurology,Dev Med Child Neurol,2013,"Section of Pediatric Neurology, Department of Pediatrics and Child Health, Children's Hospital, University of Manitoba, Winnipeg, MB, Canada. msalman@hsc.mb.ca"
1069,23352739,Epilepsy research,Epilepsy Res,2013,"Laboratory of Clinical Neurophysiology, Institute and Department of Psychiatry, University of São Paulo, São Paulo, SP, Brazil. kettevalente@msn.com"
1070,22374772,Revista de neurologia,Rev Neurol,2012,"Hospital Universitario Marques de Valdecilla. Residencia Cantabria, Santander, Spain. juangarcia@humv.es"
1071,23335487,Human mutation,Hum Mutat,2013,"Imprinting and Cancer Group, Cancer Epigenetics and Biology Program (PEBC), Bellvitge Institute for Biomedical Research (IDIBELL), L'Hospitalet de Llobregat, Barcelona, Spain."
1072,23320815,BMC medical genetics,BMC Med Genet,2013,"1Center for Clinical Molecular Medicine; Ministry of Education Key Laboratory of Child Development and Disorders; Key Laboratory of Pediatrics in Chongqing; Chongqing International Science and Technology Cooperation Center for Child Development and Disorders, Children's Hospital of Chongqing Medical University, Chongqing, China"
1073,23295389,Behavioural brain research,Behav Brain Res,2013,"Department of Cell Biology and Physiology, University of North Carolina School of Medicine, Chapel Hill, NC 27599, USA."
1074,23283345,The Journal of neuroscience : the official journal of the Society for Neuroscience,J Neurosci,2013,"Institute of Neuroscience and State Key Laboratory of Neuroscience, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, Shanghai 200031, China."
1075,23278148,"Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry",Spec Care Dentist,2013,"Department of Pediatric Clinics, Preventive and Community Dentistry, School of Dentistry of Riberão Preto, University of São Paulo, Ribeirão Preto, SP, Brazil."
1076,23270298,European journal of paediatric dentistry,Eur J Paediatr Dent,2012,"Department of Community Dentistry, Piove di Sacco Hospital, ULSS 16 Padua, Italy. claudio.gallo@sanita.padova.it"
1077,23256887,BMC medical genetics,BMC Med Genet,2012,"Department of Genetics, Medical School of Ribeirao Preto, University of Sao Paulo, Sao Paulo, Brazil. gamolf@fmrp.usp.br"
1078,23243086,Journal of medical genetics,J Med Genet,2013,"Centre for Human Genetics, St George's University of London, London, UK."
1079,23239666,American journal of medical genetics. Part A,Am J Med Genet A,2013,"The Hospital for Sick Children, Toronto, Ontario, Canada."
1080,23226257,PloS one,PLoS One,2012,"Center for Bioinformatics, Saarland University, Saarbrücken, Germany."
1081,23226156,Frontiers in genetics,Front Genet,2012,"Department of Cellular and Molecular Physiology, Institute of Translational Medicine, University of Liverpool Liverpool, UK."
1082,23220792,Journal of child neurology,J Child Neurol,2014,"1Division of Neurology, Cincinnati Children's Hospital Medical Center, Cincinnati, OH, USA."
1083,23220633,Science translational medicine,Sci Transl Med,2012,"Department of Neurophysiology, Hamamatsu University School of Medicine, Hamamatsu 431-3192, Japan. cdh67560@par.odn.ne.jp"
1084,23208756,Wiley interdisciplinary reviews. RNA,Wiley Interdiscip Rev RNA,2013,"Department of Genetics and Developmental Biology, University of Connecticut Health Center, Farmington, CT, USA. chamberlain@uchc.edu"
1085,23200864,American journal of human genetics,Am J Hum Genet,2012,"Raphael Recanati Genetics Institute, Rabin Medical Center, Beilinson Campus, Petah Tikva 49100, Israel. basel@post.tau.ac.il"
1086,23188046,European journal of human genetics : EJHG,Eur J Hum Genet,2013,"Institute of Human Genetics, RWTH Aachen, Pauwelsstrasse 30, Aachen, Germany."
1087,23178330,International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience,Int J Dev Neurosci,2012,"National Brain Research Centre, India."
1088,23143301,The Journal of clinical investigation,J Clin Invest,2012,"Curriculum in Neurobiology, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina North Carolina 27599, USA."
1089,23124039,Gene,Gene,2013,"Department of Pediatric Neurology, Charité, Universitätsmedizin Berlin, Germany."
1090,23123881,Research in developmental disabilities,Res Dev Disabil,2013,"Department of Psychology, Munroe-Meyer Institute for Genetics and Rehabilitation, 985450 Nebraska Medical Center, Omaha, NE 68198-5450, USA. kdallen@unmc.edu"
1091,23099646,Journal of medical genetics,J Med Genet,2012,"Equipe émergente GAD EA 4271 (Génétique des Anomalies du développement), IFR Santé STIC, Université de Bourgogne, Dijon, France."
1092,23076970,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",Am J Med Genet B Neuropsychiatr Genet,2012,"Center for Experimental Medicine, the Third Xiangya Hospital, Central South University, Changsha, Hunan Province, China."
1093,23072182,"Genetic counseling (Geneva, Switzerland)",Genet Couns,2012,"Laboratorio de Citogenética Genotoxicidad y Biomonitoreo, Instituto de Genética Humana ""Dr. Enrique Corona Rivera"", Departamento de Biologia Molecular y Genómica,/ IICIA, Universidad de Guadalajara, Guadalajara, Jalisco, México."
1094,23065719,Human mutation,Hum Mutat,2012,"Clinic for Special Children, Strasburg, PA 17579, USA. epuffenberger@clinicforspecialchildren.org"
1095,23036599,Experimental neurology,Exp Neurol,2014,"University of California San Diego, School of Medicine, Department of Pediatrics/Rady Children's Hospital San Diego, Department of Cellular & Molecular Medicine, Stem Cell Program, La Jolla, CA 92093, MC 0695, USA."
1096,22990460,Obstetrical & gynecological survey,Obstet Gynecol Surv,2012,"Department of Obstetrics and Gynaecology, St George's Hospital Medical School, London, UK. vtalauli@sgul.ac.uk"
1097,22958744,Journal of neurodevelopmental disorders,J Neurodev Disord,2012,"Carolina Institute for Developmental Disabilities, University of North Carolina at Chapel Hill School of Medicine, Chapel Hill, NC, USA. dichter@med.unc.edu."
1098,22916201,PloS one,PLoS One,2012,"Department of Neurology, UTHSC, Memphis, Tennessee, USA."
1099,22841843,Sleep medicine,Sleep Med,2012,"Department of Psychiatry, Tokyo Medical University, Japan."
1100,22830052,Neural plasticity,Neural Plast,2012,"Cellular and Molecular Neuroscience Laboratory, National Brain Research Centre, Manesar, Gurgaon 122 050, India. nihar@nbrc.ac.in"
1101,22805128,Medecine sciences : M/S,Med Sci (Paris),2012,
1102,22801776,"Chromosome research : an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology",Chromosome Res,2012,"Department of Medical Genetics, Shinshu University School of Medicine, Matsumoto, Nagano, Japan."
1103,22787151,The Journal of biological chemistry,J Biol Chem,2012,"Cellular and Molecular Neuroscience Laboratory, National Brain Research Centre, Manesar, Gurgaon, Haryana 122050, India."
1104,22779920,Epilepsia,Epilepsia,2012,"Department of Neurology, Pediatric Epilepsy Program and Angelman Syndrome Clinic, Massachusetts General Hospital, Boston, Massachusetts, USA."
1105,22778257,The Journal of biological chemistry,J Biol Chem,2012,"Institute of Pharmacology, Center for Physiology and Pharmacology, Medical University of Vienna, A-1090 Vienna, Austria."
1106,22720067,PloS one,PLoS One,2012,"Medical Genetics, University of Pavia, Pavia, Italy."
1107,22711311,Molecular biology reports,Mol Biol Rep,2012,"Laboratory of Animal Molecular Genetics, College of Animal Science, Shandong Agricultural University, Taian 271018, China."
1108,22704603,Brain & development,Brain Dev,2013,"Department of Pediatrics, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Republic of Korea."
1109,22681684,Neuron,Neuron,2012,"University of North Carolina, Chapel Hill, NC 27599-7545, USA."
1110,22670152,Korean journal of pediatrics,Korean J Pediatr,2012,"Division of Pediatric Neurology, Department of Pediatrics, Pediatric Epilepsy Clinics, Severance Children's Hospital, Epilepsy Research Institute, Yonsei University College of Medicine, Seoul, Korea."
1111,22670140,Molecular syndromology,Mol Syndromol,2012,"Hayward Genetics Center and Department of Pediatrics, Tulane University School of Medicine, New Orleans, La., USA."
1112,22670133,Molecular syndromology,Mol Syndromol,2012,"Raymond C. Philips Unit, Division of Genetics and Metabolism, Department of Pediatrics, University of Florida, Gainesville, Fla., USA."
1113,22646082,Developmental neurorehabilitation,Dev Neurorehabil,2012,"McMaster Children's Hospital, Hamilton Health Sciences, Ontario, Canada. jsummers@hhsc.ca"
